居住地址,lat,lng,hospital_count,nearest_hospital_distance,store_count,nearest_store_distance
屏東縣新園鄉田洋村,22.5501595,120.4501653,0.0,0.0,2.0,1.3567617212572929
屏東縣內埔鄉竹圍村,22.6451875,120.5595696,0.0,0.0,0.0,0.0
屏東縣萬巒鄉萬金村,22.5849127,120.617113,0.0,0.0,4.0,1.2163811371800577
屏東縣東港鎮下廍里,22.4667284,120.4904831,0.0,0.0,0.0,0.0
屏東縣枋寮鄉地利村,22.3890748,120.586906,0.0,0.0,4.0,0.924048724904409
屏東縣萬巒鄉成德村,22.6203212,120.6142365,0.0,0.0,0.0,0.0
屏東縣霧臺鄉大武村,22.793773,120.7809676,0.0,0.0,0.0,0.0
屏東縣佳冬鄉六根村,22.4238005,120.5423015,1.0,1.1591761472193514,3.0,1.1431240046298312
屏東縣瑪家鄉凉山村,22.6773051,120.6487508,0.0,0.0,0.0,0.0
屏東縣佳冬鄉玉光村,22.4298805,120.5581307,2.0,0.4753427767653312,3.0,0.4751171170400641
屏東縣瑪家鄉瑪家村,22.6783035,120.6947551,0.0,0.0,0.0,0.0
屏東縣佳冬鄉石光村,22.4367166,120.5638863,1.0,0.7044007617475785,4.0,0.46701888162654726
屏東縣九如鄉東寧村,22.7281297,120.4962417,1.0,1.0404414273252258,4.0,0.7253124332255558
屏東縣屏東市湖西里,22.6555298,120.5070384,9.0,0.83127485511468,13.0,0.25949204877082
屏東縣佳冬鄉燄溫村,22.4178734,120.5192737,1.0,0.7459656490385184,0.0,0.0
屏東縣九如鄉後庄村,22.7483567,120.5020001,1.0,1.2765171381271916,4.0,0.13351636362667768
屏東縣枋寮鄉新開村,22.4123708,120.6228659,0.0,0.0,1.0,0.678649443695655
屏東縣枋寮鄉安樂村,22.3620613,120.5976951,7.0,0.2493743161627577,9.0,0.20498850665741086
屏東縣琉球鄉本福村,22.3468659,120.376697,1.0,0.23431463844598466,4.0,0.28745102915079396
屏東縣新園鄉共和村,22.4786945,120.4328824,1.0,0.9228914371473176,6.0,0.7619979441917996
屏東縣新園鄉瓦磘村,22.5507206,120.4732056,2.0,1.0263147003355313,0.0,0.0
屏東縣林邊鄉鎮安村,22.4347039,120.5147274,1.0,0.33516019941550645,5.0,0.02453607711985404
屏東縣滿州鄉九棚村,22.0966667,120.8671201,0.0,0.0,0.0,0.0
屏東縣枋寮鄉保生村,22.3447209,120.6070448,0.0,0.0,1.0,1.5128338667043406
屏東縣車城鄉福安村,22.0722799,120.7076908,0.0,0.0,5.0,0.3596770080794315
屏東縣潮州鎮光春里,22.5267916,120.5365449,0.0,0.0,0.0,0.0
屏東縣車城鄉福興村,22.073171,120.7163138,0.0,0.0,5.0,0.2393570990457488
屏東縣滿州鄉長樂村,22.0800704,120.844152,0.0,0.0,0.0,0.0
屏東縣潮州鎮富春里,22.5384638,120.5415819,7.0,0.431569445538863,13.0,0.3040246617073823
屏東縣滿州鄉永靖村,22.004077,120.7982029,0.0,0.0,0.0,0.0
屏東縣滿州鄉港口村,21.9862469,120.8326663,0.0,0.0,0.0,0.0
屏東縣滿州鄉滿州村,22.0346593,120.8183077,0.0,0.0,0.0,0.0
屏東縣內埔鄉振豐村,22.6230604,120.5437406,0.0,0.0,3.0,0.623714473639047
屏東縣滿州鄉港仔村,22.1287306,120.8671201,0.0,0.0,0.0,0.0
屏東縣屏東市瑞光里,22.6624457,120.5091977,12.0,0.7153557680747332,20.0,0.21547517513166828
屏東縣枋山鄉枋山村,22.2552913,120.6573779,0.0,0.0,2.0,1.3148821655840321
屏東縣三地門鄉大社村,22.8380895,120.7234992,0.0,0.0,0.0,0.0
屏東縣滿州鄉响林村,22.0396975,120.8326663,0.0,0.0,0.0,0.0
屏東縣恆春鎮山海里,21.98,120.7206251,0.0,0.0,1.0,1.5009706467398167
屏東縣三地門鄉德文村,22.7746293,120.6947551,0.0,0.0,0.0,0.0
屏東縣枋山鄉加祿村,22.3320595,120.6228659,0.0,0.0,3.0,0.3375708224476846
